Companies,URL,Description,Industry,Latest Funding Round,Latest Funding Date,Total Funding,All Investors,Latest Valuation,Latest Funding Amount,Exit Round,Exit Date,Acquirers,Mosaic (Overall),Date Added,Country,Applications,Text,Speech & audio,Code,Visual media
HaiVE,haive.tech,"HaiVE specializes in artificial intelligence solutions within the technology sector. The company offers an autonomous professor software, an AI development platform, and custom AI solutions tailored to individual business needs, with a focus on on-premise and private AI cloud deployments. HaiVE primarily serves educational institutions and businesses seeking to integrate and own their AI infrastructure. It was founded in 2023 and is based in Singapore.",Horizontal applications,Angel,22/05/2023,1,Mohan Karuppiah,,1,,,,365,04/10/2023,Singapore,Customer support,x, , , 
WorkHack,workhack.io,"WorkHack is a generative artificial intelligence (AI) tool that offers customer retention services. It offers automated chatbot tools for customer engagement, integrations with other customer relationship management (CRM) tools, customer insights collection services, and more. The company was founded in 2023 and is based in Bengaluru, India.",Horizontal applications,Seed VC,15/05/2023,1.5,"Nexus Venture Partners, The New Normal Fund, Together Fund",,1.5,,,,395,04/10/2023,India,Customer support,x, , , 
Mindsmith,mindsmith.ai,"Mindsmith is an eLearning authoring tool that leverages generative AI to streamline the creation and distribution of educational content. The company provides a platform for designing interactive lessons, incorporating AI-generated text and audio narration, and ensuring SCORM compatibility for seamless LMS integration. It was founded in 2022 and is based in Provo, Utah.",Education,,,,Campus Founders Fund,,,,,,,04/10/2023,United States,Test & lesson generation,x, , , 
DataSpark AI,ai.dataspark.org,"DataSpark AI specializes in automating complex tasks through its suite of artificial intelligence agents and models. The company offers a solution for building, running, and scaling AI applications, including a proprietary cognitive AI model named AGISpark, and tools for automating financial, marketing, and management tasks. It primarily serves the technology sector. The company was founded in 2020 and is based in London, United Kingdom.",Finance,Incubator/Accelerator - II,11/03/2024,,"FinTech Legal Labs, INNOVIT",,,,,,380,04/10/2023,United Kingdom,Financial models,x, , ,x
Galileo AI,usegalileo.ai,"Galileo AI specializes in the application of generative AI for the creation of user interfaces within the tech industry. The company's technology enables the transformation of natural language descriptions into UI designs. This innovation serves to streamline the UI design workflow, making it accessible to a broader range of creators. It was founded in 2022 and is based in San Francisco, California.",Horizontal applications,Seed VC,06/02/2024,4.4,"South Park Commons, Anisha Jain, Dan Becker, David Hoang, Howie Liu, Joel Hellermark, Julie Zhuo, Khosla Ventures, Matt Robinson",,4.4,,,,648,04/10/2023,United States,Design tools, , , ,x
Opus Clip,opus.pro,"Opus Clip develops an AI-powered video repurposing platform that specializes in transforming long-form content into engaging, viral social media clips. The company offers a suite of tools for automated video editing, including features like AI curation, customizable brand templates, and multi-platform publishing capabilities. Opus Clip primarily serves creators and businesses in the media, entertainment, marketing, and e-commerce sectors. It was founded in 2022 and is based in Sunnyvale, California.",Horizontal applications,Series A,29/08/2024,30.25,"AI Grant, HongShan, DCM Ventures, GTMFund, Millennium New Horizons, Samsung NEXT",,30,,,,730,04/10/2023,United States,Video editing, , , ,x
Baseplate,baseplate.ai,"Baseplate specializes in providing a platform for building and deploying AI applications, focusing on the integration of large language models (LLMs) with backend systems in various industries. The company offers solutions for embedding, storing, and managing data, as well as tools for creating and deploying LLM-powered applications without the need for training on private information. Baseplate's services are designed to enhance the capabilities of AI applications through features like hybrid search, version control, and multimodal responses. It was founded in 2023 and is based in San Francisco, California.",Generative AI infrastructure,Pre-Seed,01/04/2023,,"Pioneer Fund, Samsung NEXT",,,,,,321,04/10/2023,United States,LLMOps, , , , 
AudioLabs,audiolabs.io,"AudioLabs specializes in transforming long-form audio and video content into engaging short-form clips for social media platforms, operating within the digital content creation and video editing industry. The company offers a hybrid service that combines AI technology with human expertise to produce high-quality, platform-optimized podcast clips that are tailored to client's brand guidelines and designed to perform well on short-form video applications. It was founded in 2021 and is based in Tel Aviv, Israel.",Horizontal applications,,,,,,,,,,,04/10/2023,Israel,Video editing, , , ,x
Qtis AI,qtis.ai,"Qtis AI is an applied generative AI research company focused on developing foundational models and synthetic datasets for human-centric innovations. The company specializes in transforming data into imagery that provides insights to improve products and therapeutics, and offers generative AI models, vision models, synthetic datasets, and generative strategies. Qtis AI primarily serves sectors that require human-centric AI applications, such as the beauty and skincare industry with medical-grade technologies. It was founded in 2022 and is based in Cupertino, California.",Generative AI infrastructure,,,,,,,,,,,04/10/2023,United States,LLMOps, , , , 
EleutherAI,eleuther.ai,"EleutherAI is a research institute that specializes in artificial intelligence, particularly in the development and understanding of large language models. The institute's main focus includes language modeling, interpretability, and alignment of AI systems. EleutherAI conducts research projects aimed at improving the robustness and reliability of AI models, as well as exploring non-English natural language processing. It was founded in 2020 and is based in Washington, DC.",Generative AI infrastructure,,,,,,,,,,437,04/10/2023,United States,Foundational models & APIs,x, , , 
Panjaya,panjaya.ai,"Panjaya specializes in video content adaptation using artificial intelligence, focusing on the media and technology sectors. The company offers services that include translating video scripts, cloning voices, and synchronizing lip movements to create videos that can be understood by diverse audiences. Panjaya primarily serves sectors that require localized video content, such as education, advertising, and corporate training. It was founded in 2021 and is based in Tel Aviv, Israel.",Horizontal applications,,,,Viola Ventures,,,,,,,04/10/2023,Israel,Voice dubbing, ,x, , 
Jona,jona.health,"Jona operates in the healthcare and artificial intelligence sectors. The company offers a service that uses advanced artificial intelligence technology to provide personal microbiome profiling, which includes gut health testing, personalized diet and lifestyle recommendations, and access to nutrition coaching. Jona primarily serves individuals seeking to improve their digestive health and manage symptoms related to gastrointestinal or autoimmune conditions. It was founded in 2022 and is based in New York, New York.",Healthcare & life sciences,Seed VC - II,01/11/2023,5,"Goodwater Capital, Breyer Capital, Kicker Ventures, Meridian Street Capital",,5,,,,770,04/10/2023,United States,Biomedical NLP,x, , , 
rule5 AI,rule5.io,"rule5 AI specializes in generative AI for strategic go-to-market (GTM) initiatives within the sales intelligence domain. The company offers a platform that provides actionable insights and automated deliverables to enhance customer and sales cycles, including personalized communication, account research, and strategic sales asset generation. rule5 AI's services cater to enterprise GTM teams, aiming to transform productivity by leveraging AI-driven research, monitoring, enrichment, and content generation. It was founded in 2021 and is based in Santa Clara, California.",Horizontal applications,,,,,,,,,,514,04/10/2023,United States,Sales email & outreach,x, , , 
Got It AI,got-it.ai,"Got It AI specializes in conversational AI within the enterprise technology sector, focusing on the development and deployment of generative AI with safety measures. The company offers AI-driven solutions for customer service and sales operations, including knowledge retrieval, process guidance, and response verification. Got It AI primarily serves industries such as financial services, insurance, and consumer product manufacturing, enhancing customer experience and sales operations with their AI technology. It was founded in 2018 and is based in Burlingame, California.",Horizontal applications,,,,,,,,,,,04/10/2023,United States,Productivity & knowledge management,x, , , 
Channel,usechannel.com,"Fluent, formerly known as Channel, specializes in AI-driven data analysis within the technology sector. The company offers a platform that allows users to self-serve data insights through natural language queries, simplifying the process of data exploration and analysis. Fluent primarily serves sectors that require real-time data collaboration and insights, such as the ecommerce industry and various enterprise-level businesses. It is based in England, United Kingdom.",Horizontal applications,,,,,,,,,,520,04/10/2023,United Kingdom,Productivity & knowledge management,x, , ,x
Verneek,verneek.com,"Verneek is a full-stack deep tech AI company focused on providing enterprise-grade, domain-general AI platforms for search and discovery. Their main offerings include a conversational search and discovery AI that incorporates domain expertise to assist businesses in various sectors. The company primarily caters to the retail and consumer packaged goods industries with AI solutions that enhance decision-making and customer experiences. It was founded in 2021 and is based in New York, New York.",Horizontal applications,Pre-Seed,22/03/2023,4.5,,,4.5,,,,455,04/10/2023,United States,Customer support,x, , , 
Quickchat AI,quickchat.ai,"Quickchat AI provides a platform that enables businesses to create and deploy custom AI Assistants tailored to their needs. It primarily focuses on customer support and lead-generation applications, while also offering development services for advanced conversational AI solutions for enterprises. It is based in Wilmington, Delaware.",Horizontal applications,,,,,,,,,,456,04/10/2023,United States,Customer support,x, , , 
Diffuse Bio,diffuse.bio,"Diffuse Bio specializes in the development of generative AI for the design of functional proteins within the biotechnology sector. The company's main offerings include foundation and generative models for proteins and the creation of new assays to collect biological data at scale. Diffuse Bio primarily serves the biotechnology and healthcare industries with its innovative protein design and data collection methodologies. It was founded in 2022 and is based in San Francisco, California.",Healthcare & life sciences,Convertible Note,01/01/2023,0.5,Y Combinator,,0.5,,,,332,04/10/2023,United States,Protein & drug design,x, , ,x
Synativ,synativ.com,"Synativ helps users to generate data through computer vision models. It allows engineers to generate images, videos, and text data to improve dataset imbalances, domain adaptation, and edge case issues. Synativ was founded in 2021 and is based in London, United Kingdom.",Horizontal applications,Seed,23/05/2022,1,"The Entrepreneurship Lab, Sequoia Arc",,1,,,,326,04/10/2023,United Kingdom,Synthetic training data, , , ,x
Mindverse,mindos.com,"Mindverse specializes in artificial general intelligence (AGI) technology within the AI industry. It offers a platform that allows businesses and individuals to create and utilize AI entities for various automated tasks and personal assistance. Its primary product is an operating system called MindOS that enables AI entities to function as virtual assistants, process automation, and customer service representatives, among other roles. It was founded in 2022 and is based in Singapore.",Horizontal applications,Seed VC - III,11/04/2024,19.34,"HongShan, K2VC, Linear Venture, Plug and Play China, Yinxinggu Capital, World Innovators Meet, Square Peg Capital",,5,,,,646,04/10/2023,Singapore,Social media & marketing content. Content generation. ,x, , , 
Cquence,cquence.app,"Cquence focuses on automating post-meeting tasks in the sales and customer success sectors. The company's main service involves analyzing meeting data to generate high-quality pipeline data and nurture campaigns, thereby reducing manual work and increasing efficiency. It primarily serves the sales and customer success industries. It was founded in 2019 and is based in New York, New York.",Horizontal applications,Seed VC,25/05/2021,0.1,"Samsung NEXT, Entrepreneurs Roundtable Accelerator, Anorak Ventures, Liquid 2 Ventures",,,,,,216,04/10/2023,United States,Sales email & outreach,x, , , 
Parafin,parafin.ai,"Parafin specializes in AI-powered generative design for the real estate development sector. The company offers a platform that enables developers to instantly generate building designs, development budgets, and investment models, streamlining the decision-making process. Parafin primarily serves real estate developers and hotel brands looking to optimize their development opportunities and investment decisions. It was founded in 2017 and is based in Chicago, Illinois.",Industrials,Incubator/Accelerator,19/04/2021,,NAR REACH,,,,,,359,04/10/2023,United States,Building design,x, , , 
Talka,talka.ai,"Talka is a company specializing in conversational intelligence within the sales sector. Its main offerings include recording and analyzing sales calls to predict deal outcomes by interpreting body language, facial expressions, and speech patterns. Talka's AI-driven insights are designed to improve sales strategies and forecast revenues, catering primarily to sales professionals and management. It was founded in 2020 and is based in San Francisco, California.",Horizontal applications,,,,,,,,,,188,04/10/2023,United States,Call transcript analytics,x, , , 
Navina,navina.ai,"Navina develops an artificial intelligence (AI) platform. The company offers an AI platform that transforms unstructured health data into actionable insights, aiding physicians in assessing complex cases and improving patient care. It primarily serves the healthcare industry, with a particular focus on providers and payers. The company was founded in 2018 and is based in New York, New York.",Healthcare & life sciences,Series B,27/10/2022,44,"Israel Innovation Authority, Grove Ventures, Charles and Lynn Schusterman Family Foundation, Vertex Ventures Israel, Alive Israel HealthTech Fund, Schusterman Family Investments",,22,,,,693,04/10/2023,United States,Medical summaries,x, , , 
Convai,convai.com,"Convai is a company that focuses on conversational artificial intelligence (AI) within the domain of virtual worlds. The company offers a service that enables characters in games and virtual world applications to have human-like conversation capabilities. This service is primarily used in the gaming, learning, and entertainment sectors. It was founded in 2022 and is based in San Jose, California.",Virtual worlds & gaming,Unattributed,11/01/2023,4.75,,,4.75,,,,372,04/10/2023,United States,Video game NPC,x, , , 
QuickChat,quickchat.io,"QuickChat provides video chat in the browser. It was founded in 2013 and is based in Mountain View, California.",Horizontal applications,,,,,,,,,,,04/10/2023,United States,Open dialogue agents,x, , , 
Sidewalk Labs,sidewalklabs.com,"Sidewalk Labs focuses on urban innovation within the technology sector, aiming to enhance the quality of life in cities. The company offers products that assist in development planning through generative design, aiming to create more sustainable and efficient urban environments. Its primary clientele includes real estate developers, city planners, and entities involved in urban planning and design. It was founded in 2015 and is based in New York, New York. Sidewalk Labs operates as a subsidiary of Google.",Industrials,Corporate Minority,11/06/2015,,"Plug and Play Ventures, Google",,,,,,,04/10/2023,United States,, , , ,x
Veezoo,veezoo.com,"Veezoo provides a tool enabling people to explore and visualize stock market data efficiently. The company's interface makes getting answers from data intuitive for everyone just by asking questions in plain English. It was founded in 2016 and is based in Zurich, Switzerland.",Horizontal applications,Incubator/Accelerator,10/05/2023,0.03,"ETH Zurich, Kickstart Accelerator, Swiss ICT Investor Club, Innosuisse Scale-up Coaching program",,,Spinoff / Spinout,01/01/2016,ETH Zurich,438,04/10/2023,Switzerland,Text-to-code, , ,x, 
Codiga,codiga.io,"Codiga operates of a code analysis platform intended to upscale code quality and manage technical debt. The company's platform offers static code analysis, automates code reviews, trends, and analytics, also automatically identifies security vulnerabilities, code violations, and code duplicates, it can also detect code hotspots, monitor trends in the code base provide an overview of bottlenecks in the source code and also helps in making a technical debt repayment plan, enabling developers to reduce their technical debt and automate their code reviews. The company was founded in 2020 and is based in Westminster, Colorado. In April 2023, Codiga was acquired by Datadog. The terms of the transaction were not disclosed.",Horizontal applications,Seed VC,23/02/2022,2.22,"Techstars Boulder Accelerator, 2.12 Angels, Draper Cygnus, Jeff Lunsford, LAUNCH, Olivier Pomel, Techstars Ventures, The Syndicate, Datadog",,2.1,Acquired,19/04/2023,Datadog,,04/10/2023,United States,Code completion, , ,x, 
Kite,kite.com,"Kite ceased operation in 2021. Kite provides artificial intelligence (AI) solutions to help developers write code. The company offers codes for different programming languages such as python, java, java script, and more. It works on different compilers such as pycharm, sublime, spyder, and more. The comapny was founded in 2014 and is based in San Francisco, California.",Horizontal applications,Series A - II,28/01/2019,21,"Arab Angel Fund, East Ventures, CSC Upshot Ventures, Drew Houston, Emmett Shear, Grace Beauty Capital, Joe Lonsdale, Max Levchin, Pillar, SV Angel, M12, Nat Friedman, Trinity Ventures",,17,,,,,04/10/2023,United States,Code completion, , ,x, 
Adauris,adauris.ai,"Adauris specializes in transforming written content into engaging audio using artificial intelligence. The company offers a platform that automates the conversion of text to audio, providing a range of voices in various languages and dialects, and enabling the distribution of audio content across multiple channels. It primarily serves editorial publications, content marketers, and enterprises by offering solutions that include customizable audio players, advanced scripting for audio adaptation, and analytics to track listener engagement. The company was founded in 2020 and is based in Vancouver, Canada.",Horizontal applications,Incubator/Accelerator - II,13/09/2023,,"Antler, Google for Startups Accelerator: Canada, Morgan Stanley Inclusive Ventures Lab",,,,,,271,04/10/2023,Canada,Voice synthesis & cloning, ,x, , 
Lion Rocket,lionrocket.ai,"Lion Rocket specializes in content creation artificial intelligence within the technology sector. The company offers solutions for webtoon production, using proprietary AI to enhance efficiency and reduce costs, as well as an AI image-sharing platform that simplifies the creation and sharing of images. It primarily serves the technology sector. The company was founded in 2019 and is based in Seoul, South Korea.",Horizontal applications,Incubator/Accelerator,13/09/2024,10.97,"Shinhan Future's Lab, TIPS Program, Mashup Ventures, KIWOOM Investment, T Investment, Daesung Venture Capital, HARANG INVEST, ID Ventures, Industrial Bank of Korea, GU Equity Partners, Stonebridge Ventures, CJ Investment, Millennium Technology Value Partners, AWS Generative AI Accelerator",,,,,,487,04/10/2023,South Korea,"enterprise AI avatars, voice synthesis & cloning", ,x, ,x
Mentum,mentum.com,"Mentum provides software and service solutions that allow wireless operators, equipment vendors and consultants to efficiently plan, manage and optimize wireless access as well as backhaul networks, plan coverage expansions and launch new broadband wireless networks. Its advanced software solutions, including Mentum Planet, Mentum Ellipse, Mentum Fusion, Mentum CellPlanner and Mentum LinkPlanner, along with tailored Mentum Geodata, enable network operators and engineers to maximize their design potential.

In November 2012, Mentum was acquired by InfoVista. The valuation of Mentum was undisclosed. Other terms of the deal were not released.",Horizontal applications,,,,"Gimv, InfoVista",,,Acquired,29/11/2012,InfoVista,,04/10/2023,France,Social media & marketing content,x, , , 
Contents,contents.com,"Contents specializes in AI content creation for enterprises across various sectors. The company offers a Generative AI-driven platform that streamlines content creation processes and delivers personalized, high-performing content at scale. Contents primarily serves sectors such as e-commerce, publishing, digital marketing, and large multinational corporations. It was founded in 2017 and is based in Milano, Italy. Contents operates as a subsidiary of Entire Digital.",Horizontal applications,Series B,08/01/2024,23.99,"Entire Digital, Synergo Capital, B Heroes, Intesa Sanpaolo ELITE Lounge, SelectUSA Regional Pitch Competition, Alkemia SGR, FNDX VC, Invictus Capital, Thomson Reuters Ventures",,18,Acquired,15/06/2020,Entire Digital,,04/10/2023,Italy,Social media & marketing content,x, , , 
Terra,welcometerra.com,"Terra provides storyboard templates that allow users to plug in their own content to create videos. The company was founded in 2021 and is based in New York, New York.",Horizontal applications,Pre-Seed,05/05/2022,0.2,Antler,,0.2,,,,275,04/10/2023,United States,Photo & video editing tools, , , ,x
CannyAI,cannyai.com,"CannyAI's technology enables the editing, modification and synthesis of videos for the film and television industry using artificial intelligence.",Horizontal applications,Seed,05/07/2018,0.05,Xcelerator,,0.05,,,,150,04/10/2023,Israel,Enterprise AI avatars, , , ,x
Tabnine,tabnine.com,"Tabnine operates as a company focused on artificial intelligence (AI). It offers an AI assistant that provides code completion capabilities, aiming to increase efficiency in software development by automating routine coding tasks. The primary customers of Tabnine are developers and software development companies. The company was founded in 2017 and is based in Tel Aviv, Israel.",Horizontal applications,Series B,08/11/2023,55.05,"Khosla Ventures, Codota, Headline, Hetz Ventures, TPY Capital, OurCrowd, Qualcomm Ventures, Samsung NEXT, Atlassian Ventures, Elaia Partners, Titanium Ventures",,25,Merger,16/12/2019,Codota,854,04/10/2023,Israel,Code completion, , ,x, 
Praktika.ai,praktika.ai,"Praktika.ai is a language learning platform that leverages generative AI avatar tutors to enhance English language acquisition. The company offers an app-based learning experience with personalized, AI-driven exercises and real-time feedback to facilitate English mastery. Praktika.ai primarily serves individuals seeking to improve their English language skills through technology. It was founded in 2022 and is based in Palo Alto, California.",Education,Series A,22/05/2024,35.5,"Blue Wire Capital, Creator Ventures, 500 Global, 500 Georgia, Blossom Capital, Carles Reina, Patrice Evra",,35.5,,,,782,04/10/2023,United States,AI avatars,x,x, ,x
Boosted.ai,boosted.ai,"Boosted.ai provides artificial intelligence for investment management that focuses on providing analytics and actionable insights for asset managers. The company offers AI-driven stock picking, portfolio workspaces, and stock research tools designed to help the investment process by saving time and improving portfolio metrics. It serves institutional asset managers and wealth advisors. It was founded in 2017 and is based in Toronto, Canada.",Finance,Unattributed,15/08/2024,53,"Dunamu & Partners, Polar Asset Management Partners, Portage, HarbourVest Partners, Royal Bank of Canada, Spark Capital, Ten Coves Capital, BNY Ascent Program, CIBC Innovation Banking",,10,,,,778,04/10/2023,Canada,,x, , , 
Infinite Canvas,infinitecanvas.gg,"Infinite Canvas operates as a gaming studio and publisher. It offers user-driven, artificial intelligence (AI)-fueled gaming experiences that transform players into creators, providing limitless possibilities for game development. These services primarily cater to the gaming industry. The company was founded in 2020 and is based in Los Angeles, California.",Virtual worlds & gaming,Seed VC - II,13/07/2023,8.8,"BITKRAFT, Crossbeam Venture Partners, Day One Ventures, Emerson Collective, HBSE Ventures, LightShed Ventures, J Ventures, Warner Music Group",,6,,,,521,04/10/2023,United States,Virtual worlds & game assets, , , ,x
Kinnu,kinnu.xyz,"Kinnu is a learning platform focused on providing science-backed, bite-sized educational content across a wide range of topics. The company offers short, engaging lessons that users can read or listen to, designed to fit into a busy lifestyle and enhance knowledge retention. Kinnu's intelligent learning engine aims to foster a daily learning habit and improve memory retention for its users. It was founded in 2021 and is based in London, England.",Education,Seed VC,05/07/2023,8.9,"Adelina Grozdanova, Duncan Jennings, EXFI, Giles Palmer, Guy Podjarny, Mehdi Ghissassi, Rene Rechtman, Repeat, Spark Capital, Tom Hulme, Tom Leathes, Cavalry Ventures, LocalGlobe",,6.5,,,,534,04/10/2023,United Kingdom,Test & quiz generation,x, , , 
ToffeeX,toffeex.com,"ToffeeX provides software solutions for 3D printing topology optimization. It offers software solutions for designing and optimizing engineering components and systems. Its cloud-based, multi-physics, simulation-driven software automates the design process by employing advanced algorithms and optimization techniques, generating designs. It was formerly known as TOffeeAM. The company was founded in 2019 and is based in London, United Kingdom.",Industrials,Grant,11/09/2023,6.99,"Type One Ventures, Imperial College London, IQ Capital, Royal Academy of Engineering, Techcelerate, Tech Nation Applied AI, Aerospace Xelerated, East Innovate, Excellis, Presidio Ventures, Vento, Innovate UK",,,Spinoff / Spinout,01/01/2018,,474,04/10/2023,United Kingdom,, , , ,x
Blue J,bluej.com,"Blue J is a legal technology company focused on bringing clarity to the law. The company offers artificial intelligence solutions that help tax and legal professionals navigate complex laws, perform exceptional analysis, and deliver faster, more insightful advice. Blue J primarily serves the legal and tax sectors. It was founded in 2015 and is based in New York, New York.",Legal,Series B,10/08/2021,17.48,"University of Toronto Early-Stage Technology, Mistral Venture Partners, BDC Capital, LDV Partners, Relay Ventures, CIBC Innovation Banking, Generation Ventures",,9,,,,613,04/10/2023,United States,,x, , , 
Etcembly,etcembly.com,"Etcembly is a company focused on the intersection of immunology and machine learning, operating within the healthcare and technology sectors. The company's main service is the development of T Cell Receptor (TCR) immunotherapies, which are created through rapid computer-assisted engineering and are aimed at transforming immunotherapies and personalised medicines. Etcembly primarily sells to the healthcare industry, with a particular focus on the development of novel diagnostic and therapeutic solutions. It was founded in 2020 and is based in Oxfordshire, England.",Healthcare & life sciences,Seed VC,14/12/2022,,"Oxford Technology Management, iGlobe Partners",,,,,,387,12/10/2023,United Kingdom,Protein & drug design,x, , , 
NLX,nlx.ai,"NLX specializes in conversational AI within the customer experience automation sector. The company offers a no-code platform, conversations by NLX, which enables the creation, management, and analysis of automated multimodal conversations across various channels. NLX primarily serves enterprises looking for customer service with analytics and deployment capabilities. It was founded in 2018 and is based in New York, New York.",Horizontal applications,Series A,22/02/2024,21.6,"Plug and Play, Aquila Capital Partners, Flying Fish Venture Partners, JetBlue Technology Ventures, Sage Venture Partners, IAG Capital Partners, Comcast NBCUniversal LIFT Labs Generative AI Accelerator, Cercano Management, Comcast Ventures, H/L Ventures, Tech Square Ventures, Thayer Ventures",,12,,,,748,12/10/2023,United States,Customer support,x, , , 
Monterey,monterey.ai,"Monterey develops an artificial intelligence-powered insights platform focused on aggregating and analyzing user feedback across various channels within the technology domain. The company offers services that include the aggregation, triage, and analysis of user feedback, tickets, conversations, surveys, and transcripts to provide quantifiable insights and identify growth opportunities. It primarily serves corporate product groups, enabling them to develop, evaluate, deploy, and maintain AI solutions at scale. The company was founded in 2022 and is based in Dublin, California.",Horizontal applications,Incubator/Accelerator - II,04/04/2024,3.26,"Soma Capital, Alumni Ventures, Exceptional Capital, Pioneer Fund, Y Combinator, Comcast NBCUniversal LIFT Labs Generative AI Accelerator, Plug and Play Silicon Valley summit",,,,,,472,12/10/2023,United States,Customer feedback management,x, , , 
Theia Insights,theiainsights.com,"Theia Insights operates as a technology company in the investment sector. The company offers foundational models for industry classification, risk evaluation, and portfolio analysis, providing tools for investment management. These services primarily cater to the investment industry. It was founded in 2022 and is based in Wilmington, Delaware.",Finance,Series A,13/12/2023,6.5,"AWS Generative AI Accelerator, Clocktower Technology Ventures, Fidelity International Strategic Ventures, Unusual Ventures",,6.5,,,,600,12/10/2023,United States,Portfolio analysis,x, , , 
Griptape,griptape.ai,"Griptape is a company focused on providing an AI development platform for enterprises in the technology sector. They offer a framework and cloud services that enable developers to build, deploy, and manage AI-powered applications with a focus on retrieval-driven tasks and AI agent integration. Their services facilitate the creation of data ETL pipelines, retrieval patterns, and scalable AI workflows without the need for extensive AI or prompt engineering knowledge. It was founded in 2023 and is based in Mercer Island, Washington.",Horizontal applications,Unattributed,14/09/2023,14.64,AWS Generative AI Accelerator,,12.54,,,,648,12/10/2023,United States,App builder, , ,x, 
Ideogram AI,ideogram.ai,"Ideogram AI focuses on enhancing creative expression through generative AI within the technology sector. The company develops tools designed to make the creation of media more accessible and enjoyable for users. It was founded in 2022 and is based in Toronto, Canada.",Horizontal applications,Series A,28/02/2024,96.5,"AIX Ventures, Andreessen Horowitz, Andrej Karpathy, Golden Ventures, Index Ventures, Jeff Dean, Mahyar Salek, Pieter Abbeel, Raquel Urtasun, Ryan Dahl, Sarah Guo, Soleio, Tom Preston-Werner, Two Small Fish Ventures, Pear VC, Redpoint Ventures, SV Angel",,80,,,,859,12/10/2023,Canada,Image generation. Consumer social apps & tools., , , ,x
Botpress,botpress.com,"Botpress is a conversational AI platform that specializes in the development and deployment of chatbots for enterprises. The platform offers tools to build, customize, and integrate chatbots with large language models (LLMs), manage knowledge bases, and handle conversation data effectively. Botpress primarily serves sectors such as SaaS, legal services, manufacturing, real estate, hospitality, education, telecom, ecommerce, and finance. It was founded in 2017 and is based in Quebec, Quebec.",Generative AI infrastructure,Series A,28/04/2021,15,"BoxOne Ventures, Decibel Partners, Fonds Innovexport, Hike Ventures, Inovia Capital, One Way Ventures, Panache Ventures, Real Ventures, Creative Destruction Lab",,15,,,,527,12/10/2023,Canada,LLMOps, , , , 
Nexusflow,nexusflow.ai,"Nexusflow develops generative AI agents within the technology sector. The company provides solutions for the creation of AI agents that aim to improve workflows while ensuring no vendor lock-in and maintaining data security. Nexusflow's products are aimed at sectors that require AI capabilities, including knowledge synthesis and software operations security. It was founded in 2023 and is based in Palo Alto, California.",Horizontal applications,Seed VC,28/09/2023,10.6,"Fusion Fund, Point72 Ventures",,10.6,,,,630,12/10/2023,United States,Cybersecurity, , , , 
Atypical AI,atypicalai.com,"Atypical AI specializes in artificial intelligence and learning science within the education sector. It offers artificial intelligence-enabled solutions for personalized tutoring, teaching, and assessment of students. Its products primarily serve educators, content creators, and learners for content creation, interactivity, collaboration, and personalization. It was founded in 2023 and is based in San Francisco, California.",Education,Pre-Seed,22/08/2023,4,"468 Capital, Accelerator Ventures, Anthony Lee, Ascend, Bloomberg Beta, Craig Sherman, Dan Carroll, Daniel Sturman, Erik Blachford, Frederic Laluyaux, Mindful Ventures, SNR Ventures",,4,,,,559,12/10/2023,United States,,x, , , 
1Bstories,1bstories.com,"1Bstories specializes in AI-powered content creation, focusing on transforming text and audio into short-form video content for various digital platforms. The company offers a platform named Vidiofy.ai, which enables users to convert articles, blog posts, or prompts into customized 60-second videos suitable for social media and direct marketing. These videos can be enhanced with AI avatars and voiceovers, streamlining the video production process for brands and publishers. It was founded in 2021 and is based in Singapore, Singapore.",Horizontal applications,Seed VC,31/07/2023,4.13,"Northstar Group, Tim Dattels",,4.13,,,,506,12/10/2023,Singapore,Social media & marketing content, , , ,x
Dust,dust.tt,"Dust develops generative AI-based software to build workflows on top of large language models and semantic search. The platform offers a range of training and support resources, scales to meet the needs, and helps secure compliance with industry standards. The company was founded in 2022 and is based in Paris, France.",Horizontal applications,Series A,27/06/2024,21.46,"AI Grant, Connect Ventures, GG1, Motier Ventures, Remote First Capital, Seedcamp, Sequoia Capital, XYZ Ventures, tiny.vc",,16,,,,697,12/10/2023,France,Productivity & knowledge management,x, , , 
Floworks,floworks.ai,"Floworks is a company specializing in AI-powered sales automation within the SaaS industry. It offers a platform that automates various aspects of the sales process, including lead generation, email communication, meeting scheduling, and CRM updates. The company's solutions are designed to increase productivity and efficiency for sales teams by handling routine tasks and enabling a focus on closing deals. It was founded in 2021 and is based in Lewes, Delaware.",Horizontal applications,Seed VC,31/08/2023,2.08,"Entrepreneur First, Y Combinator, Gaingels, Sense AI, ThinKuvate",,1.5,,,,541,12/10/2023,United States,Productivity & knowledge management,x, , , 
Jericho Security,jerichosecurity.com,"Jericho Security specializes in artificial intelligence-powered cyber security training for various domains. The company offers training programs designed to educate employees on defending against cyber attacks using its proprietary generative AI technology, CyberGPT. It primarily serves sectors that handle sensitive data, such as governments, healthcare, insurance, and charities. The company was founded in 2023 and is based in New York, New York.",Horizontal applications,Incubator/Accelerator,04/04/2024,5,"Alcove, Alumni Ventures, Asymmetric, Contrary, Era, FoundersX Ventures, Lux Capital, MetaLabs, Textbook, ThornTree Capital Partners, Plug and Play Silicon Valley summit",,,,,,599,12/10/2023,United States,Cybersecurity, , , , 
